title,paragraph
Antonios Liveralis,"Antonios Liveralis or Liberalis (Greek: Αντώνιος Λιβεράλης or Λιμπεράλης, Italian: Antonio Liberali; 1814 in Corfu – 1842 in Corfu) was a Greek conductor and composer of the early Ionian school. He was the son of Italian conductor Domenico Liberali and one of Nikolaos Mantzaros' favorite students.[1] He later continued his studies at the Conservatory of San Pietro a Majella in Naples.[2] When he returned to Corfu he was joyfully received into the circle of national composers, where he was considered a musician of great talent. He then began working as assistant to his teacher Mantzaros, who left him very little time for his own compositions. He was among the first teachers of his younger brother Iosif and served as vice director of music to the Philharmonic Society of Corfu.[1]"
Miguel Llobet,"Miguel Llobet Solés (18 October 1878 – 22 February 1938) was a classical guitarist, born in Barcelona, Spain. Llobet was a renowned virtuoso who toured Europe and America extensively. He made well known arrangements of Catalan folk songs for the solo guitar, made famous arrangements for the guitar of the piano compositions of Isaac Albéniz, arrangements immortalized by Andrés Segovia, and was also the composer of original works."
Edward Loder,"Edward James Loder (10 July 1809 – 5 April 1865)[1] was an English composer and conductor. His best remembered work is perhaps the 1855 opera Raymond and Agnes,[2] though his most successful opera during his lifetime was The Night Dancers."
George Loder,"George Loder (1816 – 15 July 1868) was an English conductor, and composer of orchestral music, operas and songs. During his career he lived in England, America and Australia; he conducted the first U.S. performance of Beethoven's  Symphony No. 9."
Franz Liszt,"Franz Liszt (German: [ˈlɪst]; Hungarian: Liszt Ferencz, in modern usage Liszt Ferenc [ˈlist ˈfɛrɛnt͡s];[n 1] 22 October 1811 – 31 July 1886) was a Hungarian composer, pianist and teacher of the Romantic era."
Kate Loder,"Kate Fanny Loder, later Lady Thompson, (21 August 1825 – 30 August 1904) was an English composer and pianist.[1]"
Henriette Löfman,"Henriette Löfman (23 August 1784 – 6 March 1836, Örby, Västergötland) was a Swedish composer."
Johann Bernhard Logier,"Johann Bernhard Logier (9 February 1777 – 27 July 1846) was a German composer, teacher, inventor, and publisher resident in Ireland for much of his life."
Emma Lomax,"Louise Emily (Emma) Lomax (22 June 1873 – 29 August 1963) was an English composer and pianist. She was born in Brighton, daughter of the curator of Brighton Free Library and Museum, and studied at the Brighton School of Music and the Royal Academy of Music in London. She was a Goring Thomas Scholar from 1907–10 and won the Lucas Silver Medal.[1]"
Harvey Worthington Loomis,"Harvey Worthington Loomis (February 5, 1865, Brooklyn, New York – December 25, 1930, Boston, Massachusetts) was an American composer.  He is remembered today for his associations with the Indianist movement and the Wa-Wan Press.[1]"
Albert Lortzing,"Gustav Albert Lortzing (23 October 1801 – 21 January 1851) was a German composer, librettist, actor and singer. He is considered to be the main representative of the German Spieloper, a form similar to the French opéra comique, which grew out of the Singspiel."
Carl Loewe,"Johann Carl Gottfried Loewe (German: [ˈløːvə]; 30 November 1796 – 20 April 1869), usually called Carl Loewe (sometimes seen as Karl Loewe), was a German composer, tenor singer and conductor. In his lifetime, his songs (""Balladen"") were well enough known for some to call him the ""Schubert of North Germany"",[1] and Hugo Wolf came to admire his work. He is less known today, but his ballads and songs, which number over 400, are occasionally performed."
Alessandro Longo,Alessandro Longo (31 December 1864 – 3 November 1945) was an Italian composer and musicologist.
Katharine Lucke,"Katharine E. Lucke (1875–1962) was an American organist, music educator and composer."
Olmstead Luca,"Olmstead Luca (1826 – 1869) was a Liberian pianist[1] and composer. He composed the music for the Liberian national anthem, ""All Hail, Liberia, Hail!"". He came from a mixed-race family that had immigrated to Liberia from the southern United States.[2]"
Herman Severin Løvenskiold,"Baron Herman Severin Løvenskiold (30 July 1815 – 5 December 1870) was a Norwegian composer, most noted for his score for August Bournonville's 1836 version of the ballet La Sylphide for the Royal Danish Ballet in Copenhagen.[1]"
Samuel Lover,"Samuel Lover (24 February 1797 – 6 July 1868), also known as ""Ben Trovato"" (""well invented""), was an Irish songwriter, composer and novelist, and a portrait painter, chiefly in miniatures. He was the grandfather of Victor Herbert."
Hans Christian Lumbye,"Hans Christian Lumbye (Danish pronunciation: [lɔmˈpyː]; 2 May 1810 – 20 March 1874)[1] was a Danish composer of waltzes, polkas, mazurkas and galops, among other things.[2]"
Signe Lund,Signe Lund-Skabo (15 April 1868 – 6 April 1950) was a Norwegian composer and music teacher.[1]
Alexei Lvov,"Alexei Fyodorovich Lvov (Russian: Алексей Фёдорович Львов) (5 June [O.S. 25 May] 1798 – 28 December [O.S. 16 December] 1870) was a Russian composer. He is known for his work — the composition of the Imperial Russian National Anthem Bozhe, tsarya khrani (also known as God Save the Tsar). He wrote the opera Undine in 1846. He was entombed in the Pažaislis Monastery, Kaunas (Lithuania)."
Alexandre Luigini,"Alexandre Clément Léon Joseph Luigini (9 March 1850 – 29 July 1906) was a French composer and conductor, especially active in the opera house.[1]  As a composer, he is now remembered almost solely for his  Ballet égyptien."
Gaetano Luporini,"Giovanni Gaetano Luporini (1865–1948) was an Italian composer.  A native of Lucca, he studied there with Carlo Angeloni [it] before transferring to the Milan Conservatory, where he studied with Anselmi and Alfredo Catalani.[1]   He served as director of Lucca's Pacini Institute between 1902 and 1937.[1]  As a composer, he was active in the field of sacred music, and served as maestro di cappella of the Lucca Cathedral.[2]"
Sergei Lyapunov,"Sergei Mikhailovich Lyapunov (or Liapunov; Russian: Серге́й Миха́йлович Ляпуно́в, Russian pronunciation: [sʲɪrˈɡʲej mʲɪˈxajləvʲɪtɕ lʲɪpʊˈnof]; 30 November [O.S. 18 November] 1859 – 8 November 1924) was a Russian composer, pianist and conductor."
Anatoly Lyadov,"Anatoly Konstantinovich Lyadov (Russian: Анато́лий Константи́нович Ля́дов; 12 May [O.S. 30 April] 1855 – 28 August [O.S. 15 August] 1914) was a Russian composer, teacher, and conductor."
Mykola Lysenko,"Mykola Vitaliyovych Lysenko (Ukrainian: Мико́ла Віта́лійович Ли́сенко; 22 March 1842 – 6 November 1912[n 1]) was a Ukrainian composer, pianist, conductor and ethnomusicologist of the late Romantic period. In his time he was the central figure of Ukrainian music, with an oeuvre that includes operas, art songs, choral works, orchestral and chamber pieces, and a wide variety of solo piano music. He is often credited with founding a national music tradition during the Ukrainian national revival, in the vein of contemporaries such as Grieg in Norway, The Five in Russia as well as Smetana and Dvořák in what is now the Czech Republic.[2] By studying and drawing from Ukrainian folk music, promoting the use of the Ukrainian language, and separating himself from Russian culture, his compositions form what many consider the quintessential essence of Ukrainian music.[3] This is demonstrated best in his epic opera Taras Bulba from the novella of the same name by Nikolai Gogol, in which the grandeur, complexity and Ukrainian-language libretto prevented its staging during Lysenko's lifetime.[4]"
Emma Maria Macfarren,Emma Maria Macfarren (née Emma Marie Bennett) (19 June 1824 – 9 November 1895) was an English pianist and composer who used the pseudonym Jules Brissac.
George Alexander Macfarren,Sir George Alexander Macfarren (2 March 1813 – 31 October 1887) was an English composer and musicologist.
Teodulo Mabellini,Teodulo Mabellini (2 April 1817 – 10 March 1897) was an Italian composer.
Hamish MacCunn,"Hamish MacCunn, né James MacCunn (22 March 1868 – 2 August 1916) was a Scottish composer, conductor and teacher."
Edward MacDowell,"Edward Alexander MacDowell (December 18, 1860[1] – January 23, 1908) was an American composer and pianist of the late Romantic period. He was best known for his second piano concerto and his piano suites Woodland Sketches, Sea Pieces and New England Idylls. Woodland Sketches includes his most popular short piece, ""To a Wild Rose"". In 1904 he was one of the first seven Americans honored by membership in the American Academy of Arts and Letters."
Walter Cecil Macfarren,"Walter Cecil Macfarren (28 August 1826 – 20 September 1905) was an English pianist, composer and conductor, and a teacher at the Royal Academy of Music."
Clara Angela Macirone,"Clara Angela Macirone (20 January 1821 – 1914) was an English pianist and composer who published her music as C. A. Macirone. Born in London, she was the daughter of Italian musicians; her mother was also a pianist (a pupil of Charles Neate) and her father was an amateur tenor.[1] She began her studies at the Royal Academy of Music in 1879 under Cipriani Potter, W H Holmes, Charles Lucas and others. She later took a position teaching at the Academy.[2]"
Alexander Mackenzie (composer),"Sir Alexander Campbell Mackenzie KCVO (22 August 1847 – 28 April 1935) was a Scottish composer, conductor and teacher best known for his oratorios, violin and piano pieces, Scottish folk music and works for the stage."
Adela Maddison,"Katharine Mary Adela Maddison, née Tindal (15 December 1862[1] – 12 June 1929), usually known as Adela Maddison, was a British composer of operas, ballets, instrumental music and songs.[2] She was also a concert producer. She composed a number of French songs in the style of mélodies;[3] for some years she lived in Paris, where she was a pupil, friend and possibly lover of Gabriel Fauré.[4] Subsequently, living in Berlin, she composed a German opera which was staged in Leipzig.[3] On returning to England she created works for Rutland Boughton's Glastonbury Festivals.[5]"
Albéric Magnard,"Lucien Denis Gabriel Albéric Magnard (French pronunciation: ​[lysjɛ̃ dəni ɡabʁijɛl albeʁik maɲaʁ]; 9 June 1865 – 3 September 1914) was a French composer, sometimes referred to as a ""French Bruckner"", though there are significant differences between the two composers. Magnard became a national hero in 1914 when he refused to surrender his property to German invaders and died defending it."
